title,company,location,salary,skills_raw,skills_list,salary_clean
Research Associate,Dr. APJ Abdul Kalam Research Foundation,Work from home,Unpaid,"Content Writing, Presentation skills, Networking, Analytical Thinking, Report Writing, English Proficiency (Spoken), English Proficiency (Written)","['Content Writing', 'Presentation skills', 'Networking', 'Analytical Thinking', 'Report Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)']",Unpaid
Social Impact,NayePankh Foundation,Work from home,"₹ 1,500 - 10,000 lump sum","Project Management, Digital Marketing, Time Management, Data Analytics, Market Analysis, Business Analysis, Product Management","['Project Management', 'Digital Marketing', 'Time Management', 'Data Analytics', 'Market Analysis', 'Business Analysis', 'Product Management']","₹ 1,500 - 10,000 lump sum"
E-Commerce Marketing,FirstClub Technology Private Limited,Bangalore,"₹ 20,000 - 25,000 /month","MS-Excel, Data Analysis","['MS-Excel', 'Data Analysis']","₹ 20,000 - 25,000 /month"
Supply Chain & Logistics Operations,Oneworld Logistics Private Limited (Abhilaya),Mumbai,"₹ 12,000 - 15,000 /month","Presentation skills, Time Management, MS-Excel, Process Management, Interpersonal skills, Effective Communication, Data Analysis","['Presentation skills', 'Time Management', 'MS-Excel', 'Process Management', 'Interpersonal skills', 'Effective Communication', 'Data Analysis']","₹ 12,000 - 15,000 /month"
Founders Office - Subject Matter Expert (SME),ClariFi,Gurgaon,"₹ 15,000 - 20,000 /month","Finance, Attention to Detail, MS-Excel, Data Interpretation, English Proficiency (Written), Subject Matter Expert (SME), Market research","['Finance', 'Attention to Detail', 'MS-Excel', 'Data Interpretation', 'English Proficiency (Written)', 'Subject Matter Expert (SME)', 'Market research']","₹ 15,000 - 20,000 /month"
Business/Growth Operations,Circle,Bangalore,"₹ 7,000 - 12,000 /month","Sales, Effective Communication, Data Analysis, Python, Linux, Ethical Hacking, Web Application Security, Computer Networks, Golang, Data Analysis, MS-Excel, Adaptability, Effective Communication, Data Analysis, Collaboration, Cold Calling, MS-Excel, Interpersonal skills, Data Analysis, Logical reasoning, Analytical Thinking, Business Development, Sales, Effective Communication, Data Analysis, Social Media Marketing, Market Analysis, MS-Excel, Business Analysis, Advanced Excel, Business Research, English Proficiency (Spoken), Presentation skills, Digital Marketing, Market Analysis, Product Management, Data Analysis, Collaboration, MS-Excel, Problem Solving, Report Writing, Market research, Effective Communication, Data Analysis, Document Management, Presentation skills, Critical thinking, Market research, Effective Communication, Data Analysis, Report Generation, Python, Attention to Detail, MS-Excel, Google Docs, JSON, Auditing, English Proficiency (Spoken), Social Media Marketing, MS-Office, Recruitment, MS-Word, MS-PowerPoint, Digital Marketing, Time Management, Google Docs, Data entry, Research and Analytics, Data Analysis, Data Extraction, Data Cleaning, Google Sheets, Python, SQL, Attention to Detail, Critical thinking, MS-Excel, Problem Solving, Statistics, Presentation skills, Time Management, Critical thinking, Decision making, Problem Solving, Marketing Strategy, Research and Analytics, Critical thinking, Problem Solving, Data Interpretation, Storytelling, Research and Analytics, Effective Communication, Data Analysis, Operations, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Effective Communication, Data Analysis, Project Management, Data Analysis, Stakeholder Management, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Data Analysis, Social Media Marketing, MS-Office, Digital Marketing, Time Management, Market Analysis, Business Analysis, Advanced Excel, Client Interaction, Business Analysis, Business Research, Client Relationship, English Proficiency (Spoken), Sales, Marketing Strategies, Social Media Marketing, Digital Marketing, Time Management, Market Analysis, MS-Excel, Business Analysis, Content Marketing, MS-Excel, Research and Analytics, Data Analysis, Social Media Marketing, Time Management, Business Analysis, Advanced Excel, Business Research, Client Relationship, English Proficiency (Spoken), Project Management, Data Analysis, Microsoft 365, MS-Excel, Data Analysis, Operations, Storyboarding, Business Research, Effective Communication, Data Analysis, Technical Analysis, B2B Sales, Sales, Effective Communication, Data Analysis, Digital Marketing, MS-Excel, Interpersonal skills, Effective Communication, Data Analysis, Google Sheets, Analytical Thinking, MS-Excel, MIS, Data Analysis, Report Generation, Analytical Thinking, Financial Modeling, Data Interpretation, Data Analysis, Financial Services, SQL, MS-Excel, Data Analysis, Google Sheets, Time Management, Product Management, Computer Vision, Advanced Excel, Mailchimp Open Commerce, Stock Trading, Effective Communication, Attention to Detail, Literature Review, Interpersonal skills, Research and Analytics, Data Analysis, Medical Terminology, Multitasking, Problem Solving, Effective Communication, Data Analysis, Active Learning, Organizational Development, Social Media Marketing, Negotiation, Google Analytics, Presentation skills, Digital Marketing, Networking, Search Engine Optimization (SEO), Social Media Marketing, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Effective Communication, Data Analysis, Proofreading, English Proficiency (Spoken), English Proficiency (Written), Research and Analytics, Effective Communication, Data Analysis, Presentation skills, Digital Marketing, Time Management, Critical thinking, Problem Solving, Research and Analytics, Data Analysis, MS-Office, MS-Excel, Market research, Data Analysis, Biology, Scientific Writing, Bioinformatics, Research and Analytics, Biostatistics, Data Analysis, Laboratory Techniques","['Sales', 'Effective Communication', 'Data Analysis', 'Python', 'Linux', 'Ethical Hacking', 'Web Application Security', 'Computer Networks', 'Golang', 'MS-Excel', 'Adaptability', 'Collaboration', 'Cold Calling', 'Interpersonal skills', 'Logical reasoning', 'Analytical Thinking', 'Business Development', 'Social Media Marketing', 'Market Analysis', 'Business Analysis', 'Advanced Excel', 'Business Research', 'English Proficiency (Spoken)', 'Presentation skills', 'Digital Marketing', 'Product Management', 'Problem Solving', 'Report Writing', 'Market research', 'Document Management', 'Critical thinking', 'Report Generation', 'Attention to Detail', 'Google Docs', 'JSON', 'Auditing', 'MS-Office', 'Recruitment', 'MS-Word', 'MS-PowerPoint', 'Time Management', 'Data entry', 'Research and Analytics', 'Data Extraction', 'Data Cleaning', 'Google Sheets', 'SQL', 'Statistics', 'Decision making', 'Marketing Strategy', 'Data Interpretation', 'Storytelling', 'Operations', 'English Proficiency (Written)', 'Project Management', 'Stakeholder Management', 'Client Interaction', 'Client Relationship', 'Marketing Strategies', 'Content Marketing', 'Microsoft 365', 'Storyboarding', 'Technical Analysis', 'B2B Sales', 'MIS', 'Financial Modeling', 'Financial Services', 'Computer Vision', 'Mailchimp Open Commerce', 'Stock Trading', 'Literature Review', 'Medical Terminology', 'Multitasking', 'Active Learning', 'Organizational Development', 'Negotiation', 'Google Analytics', 'Networking', 'Search Engine Optimization (SEO)', 'Instagram Marketing', 'Proofreading', 'Biology', 'Scientific Writing', 'Bioinformatics', 'Biostatistics', 'Laboratory Techniques']","₹ 7,000 - 12,000 /month"
Business/Growth Operations,Circle,Bangalore,"₹ 7,000 - 12,000 /month","Sales, Effective Communication, Data Analysis","['Sales', 'Effective Communication', 'Data Analysis']","₹ 7,000 - 12,000 /month"
Cyber Security,COSGrid Systems Private Limited,Chennai,"₹ 15,000 - 20,000 /month","Python, Linux, Ethical Hacking, Web Application Security, Computer Networks, Golang, Data Analysis","['Python', 'Linux', 'Ethical Hacking', 'Web Application Security', 'Computer Networks', 'Golang', 'Data Analysis']","₹ 15,000 - 20,000 /month"
Sales,SingleInterface,Gurgaon,"₹ 10,000 - 15,000 /month","MS-Excel, Adaptability, Effective Communication, Data Analysis, Collaboration","['MS-Excel', 'Adaptability', 'Effective Communication', 'Data Analysis', 'Collaboration']","₹ 10,000 - 15,000 /month"
Sales,Miana Foods,Pune,"₹ 11,000 - 14,000 /month","Cold Calling, MS-Excel, Interpersonal skills, Data Analysis","['Cold Calling', 'MS-Excel', 'Interpersonal skills', 'Data Analysis']","₹ 11,000 - 14,000 /month"
Founders Office,EzySchooling,Delhi,"₹ 8,000 - 10,000 /month","Logical reasoning, Analytical Thinking, Business Development, Sales, Effective Communication, Data Analysis","['Logical reasoning', 'Analytical Thinking', 'Business Development', 'Sales', 'Effective Communication', 'Data Analysis']","₹ 8,000 - 10,000 /month"
Sales Consultant,Pawzz,Work from home,"₹ 1,500 - 15,000 /month","Social Media Marketing, Market Analysis, MS-Excel, Business Analysis, Advanced Excel, Business Research, English Proficiency (Spoken)","['Social Media Marketing', 'Market Analysis', 'MS-Excel', 'Business Analysis', 'Advanced Excel', 'Business Research', 'English Proficiency (Spoken)']","₹ 1,500 - 15,000 /month"
Marketing Innovation,Talent Corner HR Services,"Pune, Balewadi","₹ 5,000 /month","Presentation skills, Digital Marketing, Market Analysis, Product Management, Data Analysis, Collaboration","['Presentation skills', 'Digital Marketing', 'Market Analysis', 'Product Management', 'Data Analysis', 'Collaboration']","₹ 5,000 /month"
Business Environment Analysis,Talent Corner HR Services,"Pune, Balewadi","₹ 5,000 /month","MS-Excel, Problem Solving, Report Writing, Market research, Effective Communication, Data Analysis, Document Management","['MS-Excel', 'Problem Solving', 'Report Writing', 'Market research', 'Effective Communication', 'Data Analysis', 'Document Management']","₹ 5,000 /month"
Regional Marketing Research,Talent Corner HR Services,"Pune, Balewadi","₹ 5,000 /month","Presentation skills, Critical thinking, Market research, Effective Communication, Data Analysis, Report Generation","['Presentation skills', 'Critical thinking', 'Market research', 'Effective Communication', 'Data Analysis', 'Report Generation']","₹ 5,000 /month"
Data Operations,Supervaisor.AI,Work from home,"₹ 8,000 - 15,000 /month","Python, Attention to Detail, MS-Excel, Google Docs, JSON, Auditing, English Proficiency (Spoken)","['Python', 'Attention to Detail', 'MS-Excel', 'Google Docs', 'JSON', 'Auditing', 'English Proficiency (Spoken)']","₹ 8,000 - 15,000 /month"
fundraising,Pawzz,Work from home,"₹ 1,500 - 15,000 lump sum","Social Media Marketing, MS-Office, Recruitment, MS-Word, MS-PowerPoint, Digital Marketing, Time Management","['Social Media Marketing', 'MS-Office', 'Recruitment', 'MS-Word', 'MS-PowerPoint', 'Digital Marketing', 'Time Management']","₹ 1,500 - 15,000 lump sum"
Data Entry,Ranksoldier International Private Limited,Work from home,"₹ 2,000 /month","Google Docs, Data entry, Research and Analytics, Data Analysis, Data Extraction, Data Cleaning, Google Sheets","['Google Docs', 'Data entry', 'Research and Analytics', 'Data Analysis', 'Data Extraction', 'Data Cleaning', 'Google Sheets']","₹ 2,000 /month"
Marketing Analytics,Talent Corner HR Services,"Pune, Balewadi","₹ 5,000 /month","Python, SQL, Attention to Detail, Critical thinking, MS-Excel, Problem Solving, Statistics","['Python', 'SQL', 'Attention to Detail', 'Critical thinking', 'MS-Excel', 'Problem Solving', 'Statistics']","₹ 5,000 /month"
Competitive Intelligence,Talent Corner HR Services,"Pune, Balewadi","₹ 5,000 /month","Presentation skills, Time Management, Critical thinking, Decision making, Problem Solving, Marketing Strategy, Research and Analytics","['Presentation skills', 'Time Management', 'Critical thinking', 'Decision making', 'Problem Solving', 'Marketing Strategy', 'Research and Analytics']","₹ 5,000 /month"
Consumer Insights,Talent Corner HR Services,"Pune, Balewadi","₹ 5,000 /month","Critical thinking, Problem Solving, Data Interpretation, Storytelling, Research and Analytics, Effective Communication, Data Analysis","['Critical thinking', 'Problem Solving', 'Data Interpretation', 'Storytelling', 'Research and Analytics', 'Effective Communication', 'Data Analysis']","₹ 5,000 /month"
Community Management,Renan Partners,Work from home,"₹ 5,000 /month","Operations, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Effective Communication, Data Analysis","['Operations', 'MS-Excel', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Effective Communication', 'Data Analysis']","₹ 5,000 /month"
Green Project,TerraBlu Climate Technologies Private Limited,Pune,"₹ 8,000 - 10,000 /month","Project Management, Data Analysis, Stakeholder Management","['Project Management', 'Data Analysis', 'Stakeholder Management']","₹ 8,000 - 10,000 /month"
Data Entry Operator And Manager,Codecraft IT Solutions,Work from home,"₹ 1,000 - 1,001 /month","MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Data Analysis","['MS-Excel', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Data Analysis']","₹ 1,000 - 1,001 /month"
Campus Ambassador,Pawzz,Work from home,Performance Based,"Social Media Marketing, MS-Office, Digital Marketing, Time Management, Market Analysis, Business Analysis, Advanced Excel","['Social Media Marketing', 'MS-Office', 'Digital Marketing', 'Time Management', 'Market Analysis', 'Business Analysis', 'Advanced Excel']",Performance Based
Business Consultant,Pawzz,Work from home,"₹ 1,500 - 15,000 /month","Client Interaction, Business Analysis, Business Research, Client Relationship, English Proficiency (Spoken), Sales, Marketing Strategies","['Client Interaction', 'Business Analysis', 'Business Research', 'Client Relationship', 'English Proficiency (Spoken)', 'Sales', 'Marketing Strategies']","₹ 1,500 - 15,000 /month"
Sales and Outreach,Pawzz,Work from home,"₹ 1,500 - 15,000 /month","Social Media Marketing, Digital Marketing, Time Management, Market Analysis, MS-Excel, Business Analysis, Content Marketing","['Social Media Marketing', 'Digital Marketing', 'Time Management', 'Market Analysis', 'MS-Excel', 'Business Analysis', 'Content Marketing']","₹ 1,500 - 15,000 /month"
Marketing,Pratiti,Pune,"₹ 5,000 /month","MS-Excel, Research and Analytics, Data Analysis","['MS-Excel', 'Research and Analytics', 'Data Analysis']","₹ 5,000 /month"
Social Service,Pawzz,Work from home,"₹ 1,500 - 15,000 /month","Social Media Marketing, Time Management, Business Analysis, Advanced Excel, Business Research, Client Relationship, English Proficiency (Spoken)","['Social Media Marketing', 'Time Management', 'Business Analysis', 'Advanced Excel', 'Business Research', 'Client Relationship', 'English Proficiency (Spoken)']","₹ 1,500 - 15,000 /month"
Project Management - Online Research,Divergent Insights Private Limited,Noida,"₹ 15,000 /month","Project Management, Data Analysis, Microsoft 365","['Project Management', 'Data Analysis', 'Microsoft 365']","₹ 15,000 /month"
Database Building/Management,CyberFrat,Mumbai,"₹ 8,000 - 10,000 /month","MS-Excel, Data Analysis","['MS-Excel', 'Data Analysis']","₹ 8,000 - 10,000 /month"
Founders Office,Mushloop,Salem,"₹ 2,000 /month","Operations, Storyboarding, Business Research, Effective Communication, Data Analysis","['Operations', 'Storyboarding', 'Business Research', 'Effective Communication', 'Data Analysis']","₹ 2,000 /month"
Inside Sales,Jungleworks,"Ambala, Chandigarh, Ludhiana, Rajpura, Mohali, Zirakpur, Dera Bassi, Panchkula, Jammu","₹ 13,000 - 15,000 /month","Technical Analysis, B2B Sales, Sales, Effective Communication, Data Analysis","['Technical Analysis', 'B2B Sales', 'Sales', 'Effective Communication', 'Data Analysis']","₹ 13,000 - 15,000 /month"
Growth Marketing,Tacheon,Chennai,"₹ 8,000 - 12,000 /month","Digital Marketing, MS-Excel, Interpersonal skills, Effective Communication, Data Analysis, Google Sheets","['Digital Marketing', 'MS-Excel', 'Interpersonal skills', 'Effective Communication', 'Data Analysis', 'Google Sheets']","₹ 8,000 - 12,000 /month"
E-commerce Executive,Rbsorting Hat Private Limited,"Chennai, Tambaram Sanatorium","₹ 8,000 - 12,000 /month","Analytical Thinking, MS-Excel, MIS, Data Analysis, Report Generation","['Analytical Thinking', 'MS-Excel', 'MIS', 'Data Analysis', 'Report Generation']","₹ 8,000 - 12,000 /month"
Financial Research,Talent Corner HR Services,Mumbai,"₹ 15,000 lump sum","Analytical Thinking, Financial Modeling, Data Interpretation, Data Analysis, Financial Services","['Analytical Thinking', 'Financial Modeling', 'Data Interpretation', 'Data Analysis', 'Financial Services']","₹ 15,000 lump sum"
MIS/Data Operations,FloBiz,Work from home,"₹ 15,000 - 20,000 /month","SQL, MS-Excel, Data Analysis, Google Sheets","['SQL', 'MS-Excel', 'Data Analysis', 'Google Sheets']","₹ 15,000 - 20,000 /month"
Store Keeper,Dough One Sources Private Limited,"Bikaner, Sonipat, Jaipur, Rajasthan","₹ 5,000 - 15,000 /month","Time Management, Product Management, Computer Vision, Advanced Excel, Mailchimp Open Commerce, Stock Trading, Effective Communication","['Time Management', 'Product Management', 'Computer Vision', 'Advanced Excel', 'Mailchimp Open Commerce', 'Stock Trading', 'Effective Communication']","₹ 5,000 - 15,000 /month"
Clinical Research And Medical Support,Jarurat Care,Work from home,Unpaid,"Attention to Detail, Literature Review, Interpersonal skills, Research and Analytics, Data Analysis, Medical Terminology","['Attention to Detail', 'Literature Review', 'Interpersonal skills', 'Research and Analytics', 'Data Analysis', 'Medical Terminology']",Unpaid
Operations,Talent Corner HR Services,Mumbai,"₹ 15,000 lump sum","Multitasking, Problem Solving, Effective Communication, Data Analysis, Active Learning, Organizational Development","['Multitasking', 'Problem Solving', 'Effective Communication', 'Data Analysis', 'Active Learning', 'Organizational Development']","₹ 15,000 lump sum"
Business Development (Sales),PRP Webs,Jaipur,"₹ 7,000 - 15,000 /month","Social Media Marketing, Negotiation, Google Analytics, Presentation skills, Digital Marketing, Networking, Search Engine Optimization (SEO)","['Social Media Marketing', 'Negotiation', 'Google Analytics', 'Presentation skills', 'Digital Marketing', 'Networking', 'Search Engine Optimization (SEO)']","₹ 7,000 - 15,000 /month"
Social Media Marketing,Human Peritus,Gurgaon,"₹ 15,000 - 20,000 /month","Social Media Marketing, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Effective Communication, Data Analysis","['Social Media Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Instagram Marketing', 'Effective Communication', 'Data Analysis']","₹ 15,000 - 20,000 /month"
Research,Earth5R,Work from home,Unpaid,"Proofreading, English Proficiency (Spoken), English Proficiency (Written), Research and Analytics, Effective Communication, Data Analysis","['Proofreading', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Research and Analytics', 'Effective Communication', 'Data Analysis']",Unpaid
Market Research,Fission Infotech,Hyderabad,"₹ 8,000 - 12,000 /month","Presentation skills, Digital Marketing, Time Management, Critical thinking, Problem Solving, Research and Analytics, Data Analysis","['Presentation skills', 'Digital Marketing', 'Time Management', 'Critical thinking', 'Problem Solving', 'Research and Analytics', 'Data Analysis']","₹ 8,000 - 12,000 /month"
Strategy And Marketing,Auluka Brands Private Limited,Delhi,"₹ 5,000 - 15,000 /month","MS-Office, MS-Excel, Market research, Data Analysis","['MS-Office', 'MS-Excel', 'Market research', 'Data Analysis']","₹ 5,000 - 15,000 /month"
Food Biotechnology Research Intern,MEGAFAUNA WELFARE FOUNDATION,Chandigarh,"₹ 4,500 - 7,000 /month","Biology, Scientific Writing, Bioinformatics, Research and Analytics, Biostatistics, Data Analysis, Laboratory Techniques","['Biology', 'Scientific Writing', 'Bioinformatics', 'Research and Analytics', 'Biostatistics', 'Data Analysis', 'Laboratory Techniques']","₹ 4,500 - 7,000 /month"
